folder,excel_id
TTIAS-001-A15,TTIAS-001-A15
TTIAS-005-A18,TTIAS-005-A18
TTIAS-007-A05,TTIAS-007-A05
TTIAS-012-A03,TTIAS-012-A03
TTIAS-014-A01,TTIAS-014-A01
TTIAS-014-A07,TTIAS-014-A07
TTIAS-014-A16,TTIAS-014-A16
TTIAS-015-A05,TTIAS-015-A05
TTIAS-015-A16,TTIAS-015-A16
TTMAC-004-A02,TTMAC-004-A02
TTMAC-010-A01,TTMAC-010-A01
TTMAC-010-A10,TTMAC-010-A10
TTMAC-012-A01,TTMAC-012-A01
TTMAC-012-A06,TTMAC-012-A06
TTMAC-015-A05,TTMAC-015-A05
TTMAC-020-A15,TTMAC-020-A15
TTMAC-025-A01,TTMAC-025-A01
TTMAC-025-A10,TTMAC-025-A10
TTMAC-026-A06,TTMAC-026-A06
TTMAC-026-A10,TTMAC-026-A10
TTMAC-029-A05,TTMAC-029-A05
TTMCS-002-A17,TTMCS-002-A17
TTMCS-008-A15,TTMCS-008-A15
TTMCS-011-A06,TTMCS-011-A06
TTMCS-015-A03,TTMCS-015-A03
TTMCS-016-A12,TTMCS-016-A12
TTMCS-016-A14,TTMCS-016-A14
TTMCS-016-A20,TTMCS-016-A20
TTMCS-021-A03,TTMCS-021-A03
TTMCS-021-A09,TTMCS-021-A09
TTMCS-021-A16,TTMCS-021-A16
UFHT-020-A08,UFHT-020-A08
UPAT-012-A04,UPAT-012-A04
USMBL-014-A08,USMBL-014-A08
USMBL-014-A13,USMBL-014-A13
